BIOSAMPLE_ACCESSION	TREATMENT_ACCESSION
BS769869	TRT1834
BS769875	TRT1834
BS769876	TRT1834
BS769887	TRT1834
BS769838	TRT1834
BS769839	TRT1834
BS769841	TRT1834
BS769846	TRT1834
BS769852	TRT1834
BS769854	TRT1834
BS769866	TRT1834
BS769872	TRT1834
BS769891	TRT1834
BS769893	TRT1834
BS769830	TRT1834
BS769836	TRT1834
BS769845	TRT1834
BS769848	TRT1834
BS769851	TRT1834
BS769860	TRT1834
BS769868	TRT1834
BS769823	TRT1834
BS769827	TRT1834
BS769829	TRT1834
BS769858	TRT1834
BS769873	TRT1834
BS769888	TRT1834
BS769889	TRT1834
BS769825	TRT1834
BS769832	TRT1834
BS769857	TRT1834
BS769862	TRT1834
BS769863	TRT1834
BS769877	TRT1834
BS769879	TRT1834
BS769883	TRT1834
BS769886	TRT1834
BS769890	TRT1834
BS769892	TRT1834
BS769844	TRT1834
BS769855	TRT1834
BS769856	TRT1834
BS769859	TRT1834
BS769870	TRT1834
BS769880	TRT1834
BS769881	TRT1834
BS769828	TRT1834
BS769833	TRT1834
BS769834	TRT1834
BS769840	TRT1834
BS769850	TRT1834
BS769867	TRT1834
BS769874	TRT1834
BS769878	TRT1834
BS769882	TRT1834
BS769885	TRT1834
BS769824	TRT1834
BS769831	TRT1834
BS769849	TRT1834
BS769864	TRT1834
BS769871	TRT1834
BS769884	TRT1834
BS769826	TRT1834
BS769835	TRT1834
BS769837	TRT1834
BS769842	TRT1834
BS769843	TRT1834
BS769847	TRT1834
BS769853	TRT1834
BS769861	TRT1834
BS769865	TRT1834
