BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS752204	ES833747
BS752206	ES833749
BS752223	ES833766
BS752224	ES850796
BS752225	ES850804
BS752231	ES850824
BS752234	ES851183
BS752234	ES851182
BS752234	ES850836
BS752234	ES850835
BS752237	ES833780
BS752242	ES850859
BS752243	ES850863
BS752245	ES851198
BS752248	ES833791
BS752250	ES850883
BS752252	ES850889
BS752254	ES851201
BS752254	ES850896
BS752255	ES851205
BS752256	ES833799
BS752257	ES851211
BS752257	ES851210
BS752258	ES850907
BS752260	ES850913
BS752262	ES850920
BS752264	ES850925
BS752268	ES833811
BS752268	ES850938
BS752270	ES833813
BS752272	ES850949
BS752276	ES850961
BS752277	ES850965
BS752280	ES851230
BS752282	ES850980
BS752283	ES833826
BS752283	ES851240
BS752287	ES850999
BS752294	ES851019
BS752295	ES851022
BS752296	ES851025
BS752298	ES851274
BS752299	ES851279
BS752300	ES851037
BS752301	ES851038
BS752309	ES851266
BS752309	ES851062
BS752310	ES851064
BS752311	ES851068
BS752312	ES851071
BS752315	ES833858
BS752315	ES851288
BS752317	ES851085
BS752318	ES851086
BS752319	ES833862
BS752320	ES851296
BS752322	ES851098
BS752324	ES833867
BS752326	ES851315
BS752326	ES851111
BS752328	ES851117
BS752330	ES851122
BS752333	ES851132
BS752335	ES851331
BS752338	ES851146
BS752341	ES833884
BS752342	ES833885
BS752346	ES833889
BS752347	ES833890
BS752349	ES833892
BS769823	ES850721
BS769830	ES850774
BS769830	ES850773
BS769831	ES851173
BS769831	ES851172
BS769831	ES850779
BS769842	ES850838
BS769845	ES851191
BS769846	ES850862
BS769847	ES850867
BS769860	ES850945
BS769861	ES850951
BS769863	ES851221
BS769865	ES851233
BS769865	ES851232
BS769866	ES850984
BS769867	ES850990
BS769874	ES851033
BS769876	ES851260
BS769877	ES851282
BS769880	ES851072
BS769881	ES851082
BS769886	ES851317
BS769890	ES851328
BS752663	ES848440
BS752663	ES848439
BS752663	ES848436
BS752664	ES834582
BS752665	ES834589
BS752665	ES834584
BS752667	ES834598
BS752668	ES834608
BS752668	ES848338
BS752669	ES834618
BS752669	ES834617
BS752669	ES848340
BS752669	ES848339
BS752670	ES834625
BS752671	ES834628
BS752672	ES834633
BS752672	ES848002
BS752673	ES834643
BS752673	ES848355
BS752674	ES834651
BS752675	ES834660
BS752675	ES834654
BS752676	ES834663
BS752676	ES848367
BS752677	ES848371
BS752679	ES834687
BS752680	ES834692
BS752681	ES834697
BS752681	ES848017
BS752681	ES848015
BS752682	ES834709
BS752682	ES834706
BS752682	ES848025
BS752683	ES834713
BS752684	ES834717
BS752685	ES834726
BS752685	ES834725
BS752685	ES834724
BS752686	ES834737
BS752686	ES834733
BS752686	ES848050
BS752687	ES834740
BS752688	ES848392
BS752689	ES848061
BS752690	ES848068
BS752692	ES834775
BS752692	ES848077
BS752693	ES834783
BS752694	ES848090
BS752695	ES834796
BS752695	ES848098
BS752696	ES834805
BS752696	ES848104
BS752697	ES848109
BS752700	ES834834
BS752700	ES848126
BS752701	ES834841
BS752701	ES848132
BS752701	ES848129
BS752702	ES834844
BS752703	ES848145
BS752704	ES848149
BS752704	ES848148
BS752705	ES834865
BS752705	ES848155
BS752706	ES848161
BS752706	ES848159
BS752707	ES834884
BS752707	ES834883
BS752707	ES848169
BS752707	ES848166
BS752708	ES834887
BS752709	ES848182
BS752709	ES834895
BS752710	ES834904
BS752710	ES834901
BS752711	ES834906
BS752712	ES848201
BS752712	ES834919
BS752713	ES848209
BS752713	ES834925
BS752714	ES848213
BS752714	ES834929
BS752714	ES834928
BS752715	ES848219
BS752716	ES848228
BS752716	ES834946
BS752717	ES834953
BS752717	ES834948
BS752718	ES834957
BS752718	ES834956
BS752718	ES834955
BS752719	ES834965
BS752721	ES848257
BS752721	ES848256
BS752721	ES834980
BS752722	ES834983
BS752723	ES848270
BS752723	ES834993
BS752724	ES848273
BS752724	ES835001
BS752725	ES835007
BS752726	ES835016
BS752726	ES835012
BS752727	ES848295
BS752728	ES848300
BS752728	ES835031
BS752728	ES835026
BS752730	ES848313
BS752730	ES835043
BS752732	ES848393
BS752733	ES835065
BS752734	ES848183
BS752734	ES835068
BS752735	ES835080
BS752735	ES835076
BS752736	ES848456
BS752736	ES848416
BS752200	ES833743
BS752203	ES851163
BS752204	ES851164
BS752205	ES833748
BS752205	ES851169
BS752209	ES833752
BS752210	ES850749
BS752210	ES850747
BS752212	ES833755
BS752212	ES850760
BS752218	ES850777
BS752219	ES833762
BS752219	ES850782
BS752220	ES850783
BS752225	ES833768
BS752225	ES850805
BS752227	ES850811
BS752228	ES850814
BS752230	ES833773
BS752231	ES850823
BS752231	ES850817
BS752233	ES833776
BS752239	ES850851
BS752241	ES851193
BS752242	ES833785
BS752245	ES850870
BS752247	ES850875
BS752249	ES833792
BS752250	ES850884
BS752251	ES833794
BS752258	ES833801
BS752260	ES833803
BS752263	ES850924
BS752264	ES833807
BS752266	ES850932
BS752274	ES833817
BS752275	ES833818
BS752275	ES850959
BS752276	ES833819
BS752278	ES833821
BS752284	ES850989
BS752284	ES850988
BS752285	ES833828
BS752288	ES851000
BS752290	ES851007
BS752290	ES851006
BS752292	ES851012
BS752295	ES833838
BS752296	ES851248
BS752298	ES851031
BS752299	ES851034
BS752301	ES851039
BS752302	ES851254
BS752303	ES851256
BS752304	ES833847
BS752304	ES851047
BS752306	ES833849
BS752308	ES851264
BS752312	ES851268
BS752313	ES833856
BS752313	ES851074
BS752314	ES851287
BS752316	ES851291
BS752317	ES851084
BS752321	ES851300
BS752321	ES851097
BS752322	ES851099
BS752323	ES851103
BS752329	ES833872
BS752332	ES851129
BS752333	ES851324
BS752334	ES851134
BS752335	ES833878
BS752335	ES851139
BS752339	ES851151
BS752340	ES851153
BS752341	ES851157
BS769824	ES850728
BS769828	ES850762
BS769828	ES850761
BS769829	ES850768
BS769829	ES850767
