NAME	DESCRIPTION	LINK
Nasal lavage fluid	Fluid obtained by irrigation or washout of the nasal cavity and nasal mucosa. [database_cross_reference: Mondofacto_Dictionary:http://www.mondofacto.com/facts/dictionary?]	http://purl.obolibrary.org/obo/BTO_0004977
Bone	Skeletal element that is composed of bone tissue.	http://purl.obolibrary.org/obo/UBERON_0001474
Carbohydrate	Any member of the class of organooxygen compounds that is a polyhydroxy-aldehyde or -ketone or a lactol resulting from their intramolecular condensation (monosaccharides); substances derived from these by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom; and polymeric products arising by intermolecular acetal formation between two or more such molecules (disaccharides, polysaccharides and oligosaccharides). Carbohydrates contain only carbon, hydrogen and oxygen atoms; prior to any oxidation or reduction, most have the empirical formula Cm(H2O)n. Compounds obtained from carbohydrates by substitution, etc., are known as carbohydrate derivatives and may contain other elements. Cyclitols are generally not regarded as carbohydrates.	http://purl.obolibrary.org/obo/CHEBI_16646
Cell culture supernatant	Supernatant of a cell culture is a material entity which contains media, supplements, and secreted products of the cells and becomes the environment of cultivated cell.	http://purl.obolibrary.org/obo/OBI_1000023
Colon	Last portion of the large intestine before it becomes the rectum.	http://purl.obolibrary.org/obo/UBERON_0001155
DNA	High molecular weight, linear polymers, composed of nucleotides containing deoxyribose and linked by phosphodiester bonds; DNA contain the genetic information of organisms.	http://purl.obolibrary.org/obo/CHEBI_16991
Ileum	The portion of the small intestine that extends from the jejunum to the colon.	http://purl.obolibrary.org/obo/UBERON_0002116
Inguinal lymph node	The lymph nodes located in the groin area.	http://purl.obolibrary.org/obo/UBERON_0001542
Jejunum	The portion of the small intestine that extends from the duodenum to the ileum.	http://purl.obolibrary.org/obo/UBERON_0002115
Kidney	A paired organ of the urinary tract which has the production of urine as its primary function.	http://purl.obolibrary.org/obo/UBERON_0002113
Lipid	'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids.	http://purl.obolibrary.org/obo/CHEBI_18059
Lung lymph node	Bronchopulmonary segment lymph node.	http://purl.obolibrary.org/obo/FMA_68286
Lung	Respiration organ that develops as an oupocketing of the esophagus.	http://purl.obolibrary.org/obo/UBERON_0002048
Lymph node	Any of the rounded masses of lymphoid tissue that are surrounded by a capsule of connective tissue, are distributed along the lymphatic vessels, and contain numerous lymphocytes which filter the flow of lymph.	http://purl.obolibrary.org/obo/UBERON_0000029
Mesenteric lymph node	The lymph nodes located in the mesentery, of which there are 3 classes: ileocolic, juxtaintestinal mesenteric, and central superior group.	http://purl.obolibrary.org/obo/UBERON_0002509
Not Specified	Sample Type is not specified or not received. If no Sample Type value is received, then this is the system default value.	
Other	A sample type that is not provided in the preferred values list.	
PBMC	Peripheral Blood Mononuclear Cell- A leukocyte with a single non-segmented nucleus in the mature form.	http://purl.obolibrary.org/obo/CL_0000842
Plasma	Body substance in liquid state contained in the lumen of arterial and venous trees, blood capillary and the cardiac chambers; constitutes the liquid phase of blood.	http://purl.obolibrary.org/obo/UBERON_0001969
Protein	A biological macromolecule minimally consisting of one polypeptide chain synthesized at the ribosome.	http://purl.obolibrary.org/obo/CHEBI_36080
Saliva	A fluid produced in the oral cavity by salivary glands, typically used in predigestion, but also in other functions.	http://purl.obolibrary.org/obo/UBERON_0001836
Serum	Body substance derived from plasma by the elimination of fibrinogen.	http://purl.obolibrary.org/obo/UBERON_0001977
Skin of body	Nonparenchymatous organ that consists of the dermis and epidermis. Subdivisions of the skin surround various body parts; as a whole, the skin constitutes the external layer of the body.	http://purl.obolibrary.org/obo/UBERON_0002097
Spleen	The organ that functions to filter blood and to store red corpuscles and platelets.	http://purl.obolibrary.org/obo/UBERON_0002106
Synovial fluid	Transudate contained in the synovial cavity of joints, and in the cavity of tendon sheaths and bursae.	http://purl.obolibrary.org/obo/UBERON_0001090
Synovial tissue	Thin, loose vascular connective tissue that makes up the membranes surrounding joints and the sheaths protecting tendons (particularly flexor tendons in the hands and feet) where they pass over bony prominences.	http://purl.obolibrary.org/obo/UBERON_0007616
Thymus	Anatomical structure of largely lymphoid tissue that functions in cell-mediated immunity by being the site where T cells develop.	http://purl.obolibrary.org/obo/UBERON_0002370
Tonsil	Either of the two small almond-shaped masses of lymph tissue found on either side of the oropharynx.	http://purl.obolibrary.org/obo/UBERON_0002372
Urine	Excretion that is the output of a kidney database_cross_reference: http://en.wikipedia.org/wiki/Urine[database_cross_reference: https://github.com/geneontology/go-ontology/issues/11025]	http://purl.obolibrary.org/obo/UBERON_0001088
Whole blood	Circulating body substance which consists of blood plasma and hemoglobin-carrying red blood cells. Excludes blood analogues (see UBERON:0000179 haemolymphatic fluid).	http://purl.obolibrary.org/obo/UBERON_0000178
Dermis	The dermis is a layer of skin between the epidermis (with which it makes up the skin) and subcutaneous tissues, and is composed of two layers, the papillary and reticular dermis.	http://purl.obolibrary.org/obo/UBERON_0002067
Amniotic Fluid	Amniotic fluid is a bodily fluid consisting of watery liquid surrounding and cushioning a growing fetus within the amnion. It allows the fetus to move freely without the walls of the uterus being too tight against its body. Buoyancy is also provided. The composition of the fluid changes over the course of gestation. Initially, amniotic fluid is similar to maternal plasma, mainly water with electrolytes. As the fetus develops, proteins, carbohydrates, lipids, phospholipids originating from the lungs, fetal cells, and urea are deposited in the fluid. database_cross_reference: MP:MPdatabase_cross_reference: ENVO:02000021	http://purl.obolibrary.org/obo/UBERON_0000173
Urinary bladder	Distensible musculomembranous organ situated in the anterior part of the pelvic cavity in which urine collects before excretion	http://purl.obolibrary.org/obo/UBERON_0001255
Umbilical cord blood	Blood that remains in the placenta and in the attached umbilical cord after childbirth[WP]. [database_cross_reference: http://en.wikipedia.org/wiki/Cord_blood]	http://purl.obolibrary.org/obo/UBERON_0012168
Neutrophil	has_broad_synonym: polynuclear neutrophilic leucocyte; poly; polymorphonuclear leucocyte; PMN; polymorphonuclear neutrophil; polymorphonuclear leukocyte; polynuclear neutrophilic leukocyte  Any of the immature or mature forms of a granular leukocyte that in its mature form has a nucleus with three to five lobes connected by slender threads of chromatin, and cytoplasm containing fine inconspicuous granules and stainable by neutral dyes. database_cross_reference: FMA:62860; BTO:0000130; CALOHA:TS-0688 [database_cross_reference: ISBN:0721601464]	http://purl.obolibrary.org/obo/CL_0000775
NK cell	A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells.	http://purl.obolibrary.org/obo/CL_0000623
Macrophage	A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells. Morphology: Diameter 30_M-80 _M, abundant cytoplasm, low N/C ratio, eccentric nucleus. Irregular shape with pseudopods, highly adhesive. Contain vacuoles and phagosomes, may contain azurophilic granules; markers: Mouse and: CD68, in most cases CD11b. Mouse: in most cases F4/80+; role or process: immune, antigen presentation, and remodelling; lineage: hematopoietic, myeloid.	http://purl.obolibrary.org/obo/CL_0000235
Lymphocyte	A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin. [database_cross_reference: GOC:add][database_cross_reference: ISBN:0781735149][database_cross_reference: ISBN:0683073696]	http://purl.obolibrary.org/obo/CL_0000542
Bronchoalveolar Lavage Fluid	Bronchoalveolar lavage (BAL; informally, "bronchoalveolar washing") is a medical procedure in which a bronchoscope is passed through the mouth or nose into the lungs and fluid is squirted into a small part of the lung and then collected for examination.	https://en.wikipedia.org/wiki/Bronchoalveolar_lavage
Bone Marrow	The soft tissue that fills the cavities of bones.	http://purl.obolibrary.org/obo/UBERON_0002371
