EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES850725	TRT1834
ES850750	TRT1834
ES850751	TRT1834
ES850766	TRT1834
ES850773	TRT1834
ES850785	TRT1834
ES850786	TRT1834
ES850795	TRT1834
ES850801	TRT1834
ES850818	TRT1834
ES850840	TRT1834
ES850841	TRT1834
ES850856	TRT1834
ES850862	TRT1834
ES850865	TRT1834
ES850869	TRT1834
ES850876	TRT1834
ES850878	TRT1834
ES850884	TRT1834
ES850889	TRT1834
ES834573	TRT1783
ES834574	TRT1783
ES850895	TRT1834
ES850896	TRT1834
ES850901	TRT1834
ES850911	TRT1834
ES850912	TRT1834
ES850931	TRT1834
ES850935	TRT1834
ES850943	TRT1834
ES850946	TRT1834
ES850949	TRT1834
ES850951	TRT1834
ES850969	TRT1834
ES850997	TRT1834
ES851000	TRT1834
ES851009	TRT1834
ES851023	TRT1834
ES851031	TRT1834
ES851043	TRT1834
ES851046	TRT1834
ES851051	TRT1834
ES851054	TRT1834
ES851079	TRT1834
ES851093	TRT1834
ES851105	TRT1834
ES851116	TRT1834
ES851133	TRT1834
ES851145	TRT1834
ES851151	TRT1834
ES851153	TRT1834
ES851163	TRT1834
ES851164	TRT1834
ES851175	TRT1834
ES851192	TRT1834
ES851195	TRT1834
ES851199	TRT1834
ES851205	TRT1834
ES851213	TRT1834
ES851225	TRT1834
ES851247	TRT1834
ES851251	TRT1834
ES851263	TRT1834
ES851268	TRT1834
ES851269	TRT1834
ES851278	TRT1834
ES851288	TRT1834
ES851295	TRT1834
ES851304	TRT1834
ES851305	TRT1834
ES833827	TRT1785
ES833828	TRT1785
ES833829	TRT1785
ES833850	TRT1785
ES833856	TRT1785
ES833861	TRT1785
ES833876	TRT1785
ES833890	TRT1785
ES848000	TRT495
ES848001	TRT492
ES848007	TRT492
ES848014	TRT1753
ES848044	TRT1753
ES848047	TRT494
ES848048	TRT495
ES848063	TRT1754
ES848066	TRT495
ES848068	TRT1753
ES848085	TRT492
ES848094	TRT1755
ES848104	TRT1753
ES848110	TRT1753
ES848113	TRT494
ES848114	TRT495
ES848116	TRT1753
ES848121	TRT492
ES848133	TRT492
ES848139	TRT492
ES848145	TRT492
ES848147	TRT1754
ES848148	TRT1755
ES848159	TRT1754
ES848170	TRT1753
ES834799	TRT1783
ES834821	TRT1783
ES834831	TRT1783
ES834851	TRT1783
ES834852	TRT1783
ES834889	TRT1783
ES834899	TRT1783
ES834906	TRT1783
ES834909	TRT1783
ES834910	TRT1783
ES834913	TRT1783
ES834921	TRT1783
ES834926	TRT1783
ES834927	TRT1783
ES834935	TRT1783
ES834939	TRT1783
ES834946	TRT1783
ES834948	TRT1783
ES834953	TRT1783
ES834956	TRT1783
ES834976	TRT1783
ES834978	TRT1783
ES834980	TRT1783
ES834985	TRT1783
ES834990	TRT1783
ES834998	TRT1783
ES835001	TRT1783
ES835002	TRT1783
ES835014	TRT1783
ES835022	TRT1783
ES835027	TRT1783
ES835029	TRT1783
ES835051	TRT1783
ES835052	TRT1783
ES835056	TRT1783
ES835060	TRT1783
ES848182	TRT1753
ES848195	TRT1754
ES848204	TRT495
ES848221	TRT494
ES848226	TRT1755
ES848231	TRT1754
ES848233	TRT494
ES848240	TRT495
ES848245	TRT494
ES848256	TRT1755
ES848258	TRT495
ES848281	TRT494
ES848291	TRT1754
ES848296	TRT1753
ES848310	TRT1755
ES848323	TRT494
ES848338	TRT1753
ES848344	TRT1753
ES848353	TRT494
ES848355	TRT492
ES848362	TRT1753
