EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES844712	527089	FCM
ES844732	527093	OTHER
ES844730	527093	OTHER
ES844724	527093	OTHER
ES844722	527093	OTHER
ES844732	527094	FCM
ES844715	527094	FCM
ES844731	527096	FCM
ES844726	527096	FCM
ES844724	527096	FCM
ES844717	527096	FCM
ES844732	527097	FCM
ES844722	527097	FCM
ES844718	527097	FCM
ES844717	527097	FCM
ES844729	527098	FCM
ES844727	527098	FCM
ES844723	527098	FCM
ES844719	527098	FCM
ES844725	527099	FCM
ES844719	527099	FCM
ES844729	527100	FCM
ES844732	527101	FCM
ES844726	527101	FCM
ES844720	527101	FCM
ES844730	527102	FCM
ES844719	527102	FCM
ES844718	527102	FCM
ES844715	527102	FCM
ES844730	527103	FCM
ES844729	527103	FCM
ES844728	527103	FCM
ES844725	527103	FCM
ES844724	527103	FCM
ES844723	527103	FCM
ES844715	527103	FCM
ES844728	527104	FCM
ES844731	527105	FCM
ES844717	527107	FCM
ES844721	527111	FCM
ES844733	527123	FCM
ES844737	527124	OTHER
ES844750	527124	OTHER
ES844744	527124	OTHER
ES844734	527125	FCM
ES844733	527125	FCM
ES844748	527126	FCM
ES844747	527126	FCM
ES844746	527127	FCM
ES844748	527128	FCM
ES844747	527128	FCM
ES844750	527129	FCM
ES844733	527130	FCM
ES844744	527130	FCM
ES844747	527131	FCM
ES844736	527132	FCM
ES844733	527132	FCM
ES844750	527133	FCM
ES844740	527133	FCM
ES844741	527134	FCM
ES844734	527135	FCM
ES844738	527136	FCM
ES844737	527140	FCM
ES844743	527146	FCM
ES844751	527154	FCM
ES844757	527155	OTHER
ES844765	527156	FCM
ES844758	527156	FCM
ES844757	527157	FCM
ES844752	527157	FCM
ES844767	527159	FCM
ES844763	527159	FCM
ES844758	527159	FCM
ES844767	527160	FCM
ES844766	527160	FCM
ES844755	527160	FCM
ES844757	527161	FCM
ES844754	527161	FCM
ES844758	527162	FCM
ES844760	527163	FCM
ES844767	527164	FCM
ES844762	527164	FCM
