BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS909829	ES1062744
BS909829	ES1031266
BS909830	ES1031272
BS909831	ES1060441
BS909831	ES1031279
BS909831	ES1031277
BS909832	ES1031285
BS909833	ES1031289
BS909835	ES1031300
BS909836	ES1031305
BS909836	ES1060450
BS909837	ES1031312
BS909838	ES1060455
BS909838	ES1062780
BS909840	ES1031329
BS909842	ES1031341
BS909842	ES1062791
BS909843	ES1031348
BS909843	ES1031346
BS909845	ES1031362
BS909845	ES1031359
BS909846	ES1060466
BS909847	ES1060469
BS909847	ES1062811
BS909848	ES1031380
BS909849	ES1031386
BS909849	ES1031385
BS909849	ES1062818
BS909850	ES1031391
BS909850	ES1031388
BS909850	ES1060475
BS909850	ES1060474
BS909850	ES1062822
BS909852	ES1062830
BS909856	ES1031427
BS909856	ES1031424
BS909857	ES1031435
BS909858	ES1031438
BS909859	ES1031447
BS909859	ES1031443
BS909859	ES1060491
BS909860	ES1031451
BS909862	ES1031464
BS909863	ES1060497
BS909863	ES1031466
BS909864	ES1031473
BS909864	ES1031472
BS909865	ES1031483
BS909865	ES1031479
BS909866	ES1060504
BS909866	ES1062771
BS909866	ES1031485
BS909867	ES1031494
BS909868	ES1031497
BS909869	ES1031507
BS909870	ES1031508
BS909872	ES1031522
BS909872	ES1031521
BS909873	ES1062804
BS909874	ES1031532
BS909875	ES1031538
BS909876	ES1062816
BS909876	ES1031549
BS909877	ES1031555
BS909877	ES1031553
BS909877	ES1031550
BS909882	ES1031584
BS909882	ES1031583
BS909883	ES1062844
BS909883	ES1031590
BS909884	ES1031597
BS909885	ES1031601
BS909885	ES1031600
BS909886	ES1060548
BS909888	ES1031621
BS909890	ES1031629
BS909890	ES1031628
BS917675	ES1060516
BS910333	ES1035864
BS910333	ES1035486
BS910334	ES1036243
BS910334	ES1036621
BS910336	ES1036623
BS910337	ES1035679
BS910337	ES1036624
BS910338	ES1035869
BS910338	ES1036058
BS910339	ES1036437
BS910339	ES1036059
BS910339	ES1036626
BS910342	ES1036062
BS910344	ES1035875
BS910345	ES1035309
BS910345	ES1036632
BS910347	ES1036445
BS910348	ES1036635
BS910349	ES1036447
BS910350	ES1036259
BS910350	ES1035314
BS910352	ES1035694
BS910355	ES1035508
BS910359	ES1036457
BS910359	ES1036646
BS910361	ES1035892
BS910362	ES1035893
BS910364	ES1035328
BS910365	ES1036085
BS910365	ES1035518
BS910365	ES1035329
BS910366	ES1036275
BS910366	ES1035708
BS910367	ES1036654
BS910368	ES1035332
BS910369	ES1035522
BS910370	ES1035901
BS910370	ES1036090
BS910371	ES1035902
BS910371	ES1035335
BS910372	ES1036281
BS910372	ES1036659
BS910373	ES1035715
BS910374	ES1036472
BS910377	ES1035341
BS910378	ES1036476
BS910379	ES1036666
BS910381	ES1035345
BS910381	ES1036668
BS910382	ES1036291
BS910386	ES1036673
BS910387	ES1036485
BS910390	ES1035921
BS910391	ES1036489
BS910392	ES1035923
BS910392	ES1036112
BS910394	ES1035358
BS910396	ES1036116
BS910396	ES1035738
BS910398	ES1036496
BS910400	ES1036498
BS910400	ES1036120
BS910404	ES1035557
BS910405	ES1036692
BS910407	ES1035938
BS910407	ES1036127
BS910407	ES1035749
BS910408	ES1036317
BS910408	ES1035750
BS910409	ES1035940
BS910409	ES1035751
BS910409	ES1035562
BS910409	ES1035373
BS910410	ES1036508
BS910410	ES1035374
BS910411	ES1036131
BS910413	ES1036511
BS910413	ES1036322
BS910413	ES1036700
BS910414	ES1035945
BS910414	ES1035567
BS910416	ES1036325
BS910416	ES1036136
BS910416	ES1035758
BS910417	ES1036704
BS910418	ES1035382
BS910419	ES1035950
BS910419	ES1035383
BS910422	ES1036520
BS910422	ES1035386
BS910423	ES1035954
BS910423	ES1035765
BS910424	ES1036711
BS910425	ES1035389
BS910425	ES1036712
BS910426	ES1035957
BS910426	ES1035579
BS910426	ES1035390
BS910426	ES1036713
BS910430	ES1036339
BS910430	ES1036717
BS910431	ES1036529
BS910431	ES1035962
BS910432	ES1036530
BS910434	ES1036532
BS910435	ES1036344
BS910435	ES1035777
BS910436	ES1036345
BS910436	ES1035778
BS910436	ES1036723
BS910440	ES1036160
BS910440	ES1035782
BS910440	ES1036727
BS910441	ES1036539
BS910444	ES1036542
BS910444	ES1035597
BS910446	ES1036355
BS910447	ES1036356
BS910447	ES1035789
BS910448	ES1036357
BS910451	ES1035793
BS910452	ES1036550
BS910454	ES1036174
BS910455	ES1036553
BS910456	ES1036554
BS910456	ES1035987
BS910456	ES1036365
BS910457	ES1036177
BS910460	ES1035991
BS910460	ES1035613
BS910460	ES1035424
BS910462	ES1036560
BS910463	ES1035805
BS910463	ES1036183
BS910464	ES1036373
BS910465	ES1036563
BS910466	ES1035430
BS910466	ES1036753
BS910467	ES1035998
BS910468	ES1035999
BS910469	ES1036378
BS910469	ES1035433
BS910470	ES1036568
BS910471	ES1036191
BS910472	ES1036003
BS910472	ES1036759
BS910473	ES1035815
BS910473	ES1035437
BS910473	ES1036760
BS910474	ES1035627
BS910475	ES1035817
BS910476	ES1036007
BS910477	ES1035441
BS910478	ES1036387
BS910478	ES1035442
BS910479	ES1036388
BS910479	ES1036199
BS910480	ES1036200
BS910482	ES1036202
BS910482	ES1036013
BS910482	ES1035635
BS910483	ES1036581
BS910483	ES1036392
BS910486	ES1036395
BS910486	ES1036017
BS910486	ES1036773
BS910489	ES1035831
BS910490	ES1036021
BS910490	ES1036777
BS910491	ES1035644
BS910492	ES1036401
BS910492	ES1035834
BS910492	ES1035456
BS910492	ES1036779
BS910493	ES1035835
BS910493	ES1036024
BS910494	ES1036403
BS910495	ES1036782
BS910496	ES1036594
BS910496	ES1036405
BS910496	ES1035649
BS910498	ES1036407
BS910499	ES1036408
BS910500	ES1036031
BS910501	ES1035465
BS910502	ES1036411
BS910502	ES1035466
BS910503	ES1035845
BS910504	ES1035846
BS910505	ES1035469
BS910507	ES1036416
BS910510	ES1036230
BS910511	ES1036231
BS910511	ES1035664
BS910512	ES1035476
BS910513	ES1035666
BS910514	ES1035478
BS910515	ES1035857
BS910515	ES1036235
BS910515	ES1036802
BS910517	ES1036426
BS910518	ES1035860
BS910518	ES1036238
BS910519	ES1035672
BS910519	ES1035483
BS909829	ES1060438
BS909829	ES1031264
BS909830	ES1062749
BS909833	ES1060444
BS909833	ES1062761
BS909835	ES1031301
BS909836	ES1031307
BS909837	ES1031310
BS909837	ES1060453
BS909837	ES1062777
BS909839	ES1062850
BS909840	ES1031332
BS909840	ES1031328
BS909840	ES1060459
BS909840	ES1062855
BS909841	ES1062786
BS909842	ES1062790
BS909843	ES1031347
BS909843	ES1062795
BS909846	ES1031367
BS909846	ES1031365
BS909847	ES1031371
BS909847	ES1060468
BS909848	ES1062814
BS909850	ES1062823
BS909851	ES1060476
BS909852	ES1031400
BS909855	ES1031421
BS909856	ES1060484
BS909856	ES1062847
BS909857	ES1031434
BS909857	ES1031432
BS909857	ES1062746
BS909858	ES1031441
BS909858	ES1060489
BS909858	ES1060488
BS909858	ES1062750
BS909859	ES1031446
BS909859	ES1060490
BS909860	ES1031452
BS909860	ES1031450
BS909860	ES1062758
BS909861	ES1031459
BS909862	ES1060496
BS909862	ES1031462
BS909863	ES1031471
BS909864	ES1060500
BS909865	ES1062778
BS909865	ES1031478
BS909866	ES1031489
BS909870	ES1031512
BS909872	ES1031524
BS909873	ES1060522
BS909873	ES1031529
BS909877	ES1062820
BS909879	ES1060533
BS909879	ES1031562
BS909880	ES1062833
BS909880	ES1031573
BS909880	ES1031570
BS909881	ES1060538
BS909884	ES1060544
BS909884	ES1060543
BS909884	ES1031593
BS909885	ES1062853
BS909886	ES1062856
BS909886	ES1031608
BS909886	ES1031606
BS909887	ES1031615
BS909887	ES1031612
BS909888	ES1062863
BS909888	ES1062862
BS909889	ES1060554
BS909890	ES1060556
BS909890	ES1060555
BS909891	ES1031636
BS910332	ES1035296
BS910333	ES1036431
BS910333	ES1035675
BS910334	ES1036432
BS910334	ES1036054
BS910335	ES1035488
BS910340	ES1036249
BS910341	ES1036250
BS910341	ES1036627
BS910342	ES1036440
BS910342	ES1036251
BS910343	ES1036063
BS910343	ES1035685
BS910343	ES1035496
BS910344	ES1036442
BS910344	ES1035686
BS910344	ES1035497
BS910345	ES1035687
BS910348	ES1036257
BS910348	ES1035690
BS910349	ES1036258
BS910351	ES1035315
BS910352	ES1036450
BS910353	ES1036451
BS910353	ES1035506
BS910353	ES1035317
BS910353	ES1036640
BS910354	ES1035318
BS910355	ES1036453
BS910356	ES1036643
BS910357	ES1036266
BS910358	ES1035511
BS910359	ES1035701
BS910359	ES1035512
BS910360	ES1036647
BS910365	ES1036463
BS910365	ES1036652
BS910366	ES1036653
BS910367	ES1036465
BS910368	ES1036088
BS910372	ES1035714
BS910374	ES1036661
BS910375	ES1035528
BS910377	ES1035908
BS910377	ES1036286
BS910377	ES1036097
BS910378	ES1036287
BS910378	ES1035342
BS910380	ES1036289
BS910380	ES1036100
BS910381	ES1035534
BS910382	ES1035913
BS910383	ES1036670
BS910384	ES1035726
BS910384	ES1036671
BS910386	ES1036484
BS910387	ES1035729
BS910387	ES1036674
BS910388	ES1035352
BS910389	ES1035731
BS910391	ES1035544
BS910393	ES1035924
BS910393	ES1035735
BS910394	ES1035547
BS910395	ES1036304
BS910395	ES1035548
BS910396	ES1035360
BS910398	ES1036118
BS910398	ES1035551
BS910399	ES1035552
BS910400	ES1035364
BS910404	ES1036124
BS910405	ES1036125
BS910406	ES1036126
BS910406	ES1035370
BS910408	ES1036128
BS910410	ES1036130
BS910411	ES1035375
BS910412	ES1035943
BS910412	ES1035754
BS910413	ES1035944
BS910414	ES1036323
BS910414	ES1035378
BS910415	ES1035568
BS910417	ES1035948
BS910417	ES1036137
BS910418	ES1035949
BS910419	ES1036328
BS910419	ES1035572
BS910419	ES1036706
BS910420	ES1035384
BS910422	ES1035953
BS910424	ES1035766
BS910427	ES1035580
BS910427	ES1036714
BS910428	ES1035581
BS910429	ES1035393
BS910430	ES1036528
BS910430	ES1035394
BS910432	ES1035963
BS910434	ES1036343
BS910436	ES1035400
BS910437	ES1035590
BS910438	ES1035591
BS910439	ES1035970
BS910439	ES1035781
BS910441	ES1036728
BS910443	ES1036352
BS910443	ES1035785
BS910445	ES1035409
BS910446	ES1035977
BS910446	ES1035410
BS910448	ES1036546
BS910448	ES1035979
BS910449	ES1035980
BS910449	ES1035602
BS910450	ES1036359
BS910451	ES1036549
BS910452	ES1036361
BS910453	ES1035795
BS910454	ES1035985
BS910454	ES1035607
BS910457	ES1036366
BS910459	ES1035801
BS910461	ES1035803
BS910461	ES1036370
BS910461	ES1036748
BS910462	ES1036749
BS910467	ES1036187
BS910467	ES1035431
BS910468	ES1036755
BS910470	ES1036379
BS910470	ES1035434
BS910471	ES1035435
BS910471	ES1036758
BS910472	ES1036381
BS910474	ES1036005
BS910476	ES1036196
BS910477	ES1036197
BS910480	ES1036389
BS910480	ES1036011
BS910480	ES1036767
BS910481	ES1036390
BS910481	ES1036201
BS910482	ES1036580
BS910482	ES1035824
BS910483	ES1036770
BS910484	ES1036015
BS910484	ES1035448
BS910485	ES1035827
BS910485	ES1036394
BS910486	ES1035639
BS910488	ES1036586
BS910488	ES1036775
BS910490	ES1036588
BS910491	ES1036400
BS910491	ES1035833
BS910492	ES1036023
BS910494	ES1036025
BS910494	ES1036781
BS910495	ES1036026
BS910495	ES1035648
BS910498	ES1035840
BS910498	ES1036029
BS910498	ES1036785
BS910500	ES1036409
BS910502	ES1036033
BS910502	ES1036600
BS910503	ES1036223
BS910503	ES1035467
BS910504	ES1035468
BS910510	ES1035852
BS910510	ES1035663
BS910511	ES1035475
BS910512	ES1036799
BS910513	ES1035477
BS910514	ES1036234
BS910514	ES1036612
BS910515	ES1035479
BS910518	ES1036616
BS909832	ES1031281
BS909832	ES1060443
BS909833	ES1031287
BS909835	ES1031298
BS909836	ES1031309
BS909836	ES1031308
BS909836	ES1031304
BS909836	ES1060451
BS909836	ES1062773
BS909836	ES1062772
BS909838	ES1031320
BS909838	ES1031317
BS909839	ES1031327
BS909839	ES1031326
BS909839	ES1031324
BS909840	ES1031333
BS909841	ES1062787
BS909842	ES1031342
BS909843	ES1031349
BS909845	ES1031363
BS909845	ES1062802
BS909847	ES1031375
BS909847	ES1031374
BS909848	ES1031379
BS909848	ES1031378
BS909848	ES1060471
BS909850	ES1031389
BS909851	ES1031394
BS909852	ES1031405
BS909852	ES1031403
BS909852	ES1031402
BS909853	ES1031409
BS909854	ES1062839
BS909855	ES1060483
BS909855	ES1062842
BS909856	ES1031426
BS909856	ES1060485
BS909857	ES1031431
BS909857	ES1060487
BS909857	ES1060486
BS909858	ES1031439
BS909858	ES1031437
BS909859	ES1031442
BS909861	ES1031458
BS909861	ES1031457
BS909861	ES1062762
BS909863	ES1062859
BS909865	ES1031480
BS909868	ES1060507
BS909868	ES1031501
BS909869	ES1060509
BS909869	ES1031503
BS909870	ES1060511
BS909870	ES1062793
BS909870	ES1031509
BS909871	ES1060513
BS909871	ES1031519
BS909872	ES1060520
BS909873	ES1031528
BS909874	ES1031536
BS909875	ES1031541
BS909876	ES1060528
BS909878	ES1060532
BS909878	ES1062824
BS909879	ES1031565
BS909880	ES1060536
BS909881	ES1060537
BS909881	ES1062837
BS909882	ES1062841
BS909882	ES1062840
BS909883	ES1062845
BS909883	ES1031587
BS909884	ES1062849
BS909884	ES1062848
BS909884	ES1031595
BS909886	ES1031609
BS909887	ES1060550
BS909887	ES1062860
BS909889	ES1062865
BS909890	ES1062866
BS909891	ES1031639
BS909891	ES1031637
BS909891	ES1031634
BS917676	ES1060517
BS910334	ES1035298
BS910335	ES1035677
BS910336	ES1035300
BS910337	ES1036057
BS910338	ES1036247
BS910340	ES1035682
BS910345	ES1035876
BS910346	ES1036066
BS910346	ES1036633
BS910347	ES1035500
BS910350	ES1036448
BS910353	ES1035695
BS910354	ES1035696
BS910355	ES1035319
BS910356	ES1036265
BS910356	ES1035320
BS910357	ES1036077
BS910357	ES1036644
BS910358	ES1035889
