FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
604066	Flow cytometry result	131845517	PBMC_111-001-vac2014-Visit1.604066.fcs	PBMC_111-001-vac2014-Visit1.fcs	2634
604067	Flow cytometry result	6343426	PBMC_vac2014_Panel1_Tfr_Set1_Visit1.604067.wsp	PBMC_vac2014_Panel1_Tfr_Set1_Visit1.wsp	2634
604068	Flow cytometry compensation or control	3413	Acquisition-defined-copy_panel1.604068.csv	Acquisition-defined-copy_panel1.csv	2634
604069	Flow cytometry result	106003889	PBMC_111-001-vac2014-Visit2.604069.fcs	PBMC_111-001-vac2014-Visit2.fcs	2634
604070	Flow cytometry result	6307778	PBMC_vac2014_Panel1_Tfr_Set1_Visit2.604070.wsp	PBMC_vac2014_Panel1_Tfr_Set1_Visit2.wsp	2634
604071	Flow cytometry result	140561589	PBMC_111-001-vac2014-Visit1_Panel2.604071.fcs	PBMC_111-001-vac2014-Visit1_Panel2.fcs	2634
604072	Flow cytometry result	6546230	PBMC_vac2014_Panel2_Set1_Visit1.604072.wsp	PBMC_vac2014_Panel2_Set1_Visit1.wsp	2634
604073	Flow cytometry compensation or control	3213	Acquisition-defined-copy_panel2.604073.csv	Acquisition-defined-copy_panel2.csv	2634
604074	Flow cytometry result	117438218	PBMC_111-001-vac2014-Visit2_Panel2.604074.fcs	PBMC_111-001-vac2014-Visit2_Panel2.fcs	2634
604075	Flow cytometry result	7970566	PBMC_vac2014_Panel2_Set1_Visit2.604075.wsp	PBMC_vac2014_Panel2_Set1_Visit2.wsp	2634
604076	Flow cytometry result	120772238	PBMC_111-001-vac2014-Visit1_panel3.604076.fcs	PBMC_111-001-vac2014-Visit1_panel3.fcs	2634
604077	Flow cytometry result	5829767	PBMC_vac2014_Panel3_Set1_Visit1.604077.wsp	PBMC_vac2014_Panel3_Set1_Visit1.wsp	2634
604078	Flow cytometry compensation or control	3389	Acquisition-defined-copy_panel3.604078.csv	Acquisition-defined-copy_panel3.csv	2634
604079	Flow cytometry result	122245207	PBMC_111-001-vac2014-Visit2_panel3.604079.fcs	PBMC_111-001-vac2014-Visit2_panel3.fcs	2634
604080	Flow cytometry result	5828572	PBMC_vac2014_Panel3_Set1_Visit2.604080.wsp	PBMC_vac2014_Panel3_Set1_Visit2.wsp	2634
604081	Flow cytometry result	175381852	PBMC_111-003-vac2014-Visit1.604081.fcs	PBMC_111-003-vac2014-Visit1.fcs	2634
604082	Flow cytometry result	134785564	PBMC_111-003-vac2014-Visit2.604082.fcs	PBMC_111-003-vac2014-Visit2.fcs	2634
604083	Flow cytometry result	102798287	PBMC_111-003-vac2014-Visit1_Panel2.604083.fcs	PBMC_111-003-vac2014-Visit1_Panel2.fcs	2634
604084	Flow cytometry result	2463432	PBMC_vac2014_Panel2_Set10_Visit1.604084.wsp	PBMC_vac2014_Panel2_Set10_Visit1.wsp	2634
604085	Flow cytometry result	98598767	PBMC_111-003-vac2014-Visit2_Panel2.604085.fcs	PBMC_111-003-vac2014-Visit2_Panel2.fcs	2634
604086	Flow cytometry result	2471011	PBMC_vac2014_Panel2_Set10_Visit2.604086.wsp	PBMC_vac2014_Panel2_Set10_Visit2.wsp	2634
604087	Flow cytometry result	67347871	PBMC_111-003-vac2014-Visit1_restain_panel3.604087.fcs	PBMC_111-003-vac2014-Visit1_restain_panel3.fcs	2634
604088	Flow cytometry result	70905911	PBMC_111-003-vac2014-Visit2_panel3.604088.fcs	PBMC_111-003-vac2014-Visit2_panel3.fcs	2634
604089	Flow cytometry result	97313268	PBMC_111-004-vac2014-Visit1.604089.fcs	PBMC_111-004-vac2014-Visit1.fcs	2634
604090	Flow cytometry result	6091940	PBMC_vac2014_Panel1_Tfr_Set6_Visit1.604090.wsp	PBMC_vac2014_Panel1_Tfr_Set6_Visit1.wsp	2634
604091	Flow cytometry result	137641576	PBMC_111-004-vac2014-Visit2.604091.fcs	PBMC_111-004-vac2014-Visit2.fcs	2634
604092	Flow cytometry result	6128684	PBMC_vac2014_Panel1_Tfr_Set6_Visit2.604092.wsp	PBMC_vac2014_Panel1_Tfr_Set6_Visit2.wsp	2634
604093	Flow cytometry result	165830011	PBMC_111-004-vac2014-Visit1_Panel2.604093.fcs	PBMC_111-004-vac2014-Visit1_Panel2.fcs	2634
604094	Flow cytometry result	7957236	PBMC_vac2014_Panel2_Set6_Visit1.604094.wsp	PBMC_vac2014_Panel2_Set6_Visit1.wsp	2634
604095	Flow cytometry result	121420504	PBMC_111-004-vac2014-Visit2_Panel2.604095.fcs	PBMC_111-004-vac2014-Visit2_Panel2.fcs	2634
604096	Flow cytometry result	7957620	PBMC_vac2014_Panel2_Set6_Visit2.604096.wsp	PBMC_vac2014_Panel2_Set6_Visit2.wsp	2634
604097	Flow cytometry result	117928118	PBMC_111-004-vac2014-Visit1_panel3.604097.fcs	PBMC_111-004-vac2014-Visit1_panel3.fcs	2634
604098	Flow cytometry result	5705290	PBMC_vac2014_Panel3_Set6_Visit1.604098.wsp	PBMC_vac2014_Panel3_Set6_Visit1.wsp	2634
604099	Flow cytometry result	167039165	PBMC_111-004-vac2014-Visit2_panel3.604099.fcs	PBMC_111-004-vac2014-Visit2_panel3.fcs	2634
604100	Flow cytometry result	5696041	PBMC_vac2014_Panel3_Set6_Visit2.604100.wsp	PBMC_vac2014_Panel3_Set6_Visit2.wsp	2634
604101	Flow cytometry result	159403837	PBMC_111-005-vac2014-Visit1.604101.fcs	PBMC_111-005-vac2014-Visit1.fcs	2634
604102	Flow cytometry result	116684081	PBMC_111-005-vac2014-Visit2.604102.fcs	PBMC_111-005-vac2014-Visit2.fcs	2634
604103	Flow cytometry result	126077947	PBMC_111-005-vac2014-Visit1_Panel2.604103.fcs	PBMC_111-005-vac2014-Visit1_Panel2.fcs	2634
604104	Flow cytometry result	99956618	PBMC_111-005-vac2014-Visit2_Panel2.604104.fcs	PBMC_111-005-vac2014-Visit2_Panel2.fcs	2634
604105	Flow cytometry result	118881302	PBMC_111-005-vac2014-Visit1_panel3.604105.fcs	PBMC_111-005-vac2014-Visit1_panel3.fcs	2634
604106	Flow cytometry result	133883453	PBMC_111-005-vac2014-Visit2_panel3.604106.fcs	PBMC_111-005-vac2014-Visit2_panel3.fcs	2634
604107	Flow cytometry result	123976509	PBMC_111-021-vac2014-Visit1.604107.fcs	PBMC_111-021-vac2014-Visit1.fcs	2634
604108	Flow cytometry result	6193994	PBMC_vac2014_Panel1_Tfr_Set4_Visit1.604108.wsp	PBMC_vac2014_Panel1_Tfr_Set4_Visit1.wsp	2634
604109	Flow cytometry result	145558525	PBMC_111-021-vac2014-Visit2.604109.fcs	PBMC_111-021-vac2014-Visit2.fcs	2634
604110	Flow cytometry result	6150273	PBMC_vac2014_Panel1_Tfr_Set4_Visit2.604110.wsp	PBMC_vac2014_Panel1_Tfr_Set4_Visit2.wsp	2634
604111	Flow cytometry result	107451914	PBMC_111-021-vac2014-Visit1_Panel2.604111.fcs	PBMC_111-021-vac2014-Visit1_Panel2.fcs	2634
604112	Flow cytometry result	7957504	PBMC_vac2014_Panel2_Set4_Visit1.604112.wsp	PBMC_vac2014_Panel2_Set4_Visit1.wsp	2634
604113	Flow cytometry result	184005674	PBMC_111-021-vac2014-Visit2_Panel2.604113.fcs	PBMC_111-021-vac2014-Visit2_Panel2.fcs	2634
604114	Flow cytometry result	7957566	PBMC_vac2014_Panel2_Set4_Visit2.604114.wsp	PBMC_vac2014_Panel2_Set4_Visit2.wsp	2634
604115	Flow cytometry result	108335911	PBMC_111-021-vac2014-Visit1_panel3.604115.fcs	PBMC_111-021-vac2014-Visit1_panel3.fcs	2634
604116	Flow cytometry result	5721729	PBMC_vac2014_Panel3_Set4_Visit1.604116.wsp	PBMC_vac2014_Panel3_Set4_Visit1.wsp	2634
604117	Flow cytometry result	146518613	PBMC_111-021-vac2014-Visit2_panel3.604117.fcs	PBMC_111-021-vac2014-Visit2_panel3.fcs	2634
604118	Flow cytometry result	5708578	PBMC_vac2014_Panel3_Set4_Visit2.604118.wsp	PBMC_vac2014_Panel3_Set4_Visit2.wsp	2634
604119	Flow cytometry result	192915458	PBMC_111-022-vac2014-Visit1.604119.fcs	PBMC_111-022-vac2014-Visit1.fcs	2634
604120	Flow cytometry result	6078565	PBMC_vac2014_Panel1_Tfr_Set3_Visit1.604120.wsp	PBMC_vac2014_Panel1_Tfr_Set3_Visit1.wsp	2634
604121	Flow cytometry result	160669535	PBMC_111-022-vac2014-Visit2.604121.fcs	PBMC_111-022-vac2014-Visit2.fcs	2634
604122	Flow cytometry result	6078893	PBMC_vac2014_Panel1_Tfr_Set3_Visit2.604122.wsp	PBMC_vac2014_Panel1_Tfr_Set3_Visit2.wsp	2634
604123	Flow cytometry result	188156630	PBMC_111-022-vac2014-Visit1_Panel2.604123.fcs	PBMC_111-022-vac2014-Visit1_Panel2.fcs	2634
604124	Flow cytometry result	7965999	PBMC_vac2014_Panel2_Set3_Visit1.604124.wsp	PBMC_vac2014_Panel2_Set3_Visit1.wsp	2634
604125	Flow cytometry result	143035041	PBMC_111-022-vac2014-Visit2_Panel2.604125.fcs	PBMC_111-022-vac2014-Visit2_Panel2.fcs	2634
