FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_200_0.727694.fcs,export_200_0.fcs,ES1230858,0,PBMC,BS807848,09-H1-0239 flow cytometry Mono/DC,727694,Flow Cytometry
export_200_1.727703.fcs,export_200_1.fcs,ES1230859,1,PBMC,BS807849,09-H1-0239 flow cytometry Mono/DC,727703,Flow Cytometry
export_284_0.728705.fcs,export_284_0.fcs,ES1231765,0,PBMC,BS808088,09-H1-0239 flow cytometry T3,728705,Flow Cytometry
export_284_1.728706.fcs,export_284_1.fcs,ES1231766,1,PBMC,BS808089,09-H1-0239 flow cytometry T3,728706,Flow Cytometry
export_284_7.728707.fcs,export_284_7.fcs,ES1231767,7,PBMC,BS808090,09-H1-0239 flow cytometry T3,728707,Flow Cytometry
export_284_70.728708.fcs,export_284_70.fcs,ES1231768,70,PBMC,BS808092,09-H1-0239 flow cytometry T3,728708,Flow Cytometry
export_284_pre.728709.fcs,export_284_pre.fcs,ES1231769,-7,PBMC,BS808091,09-H1-0239 flow cytometry T3,728709,Flow Cytometry
export_227_7.727565.fcs,export_227_7.fcs,ES1230730,7,PBMC,BS807926,09-H1-0239 flow cytometry B2,727565,Flow Cytometry
export_227_0.727563.fcs,export_227_0.fcs,ES1230728,0,PBMC,BS807924,09-H1-0239 flow cytometry B2,727563,Flow Cytometry
export_227_1.727564.fcs,export_227_1.fcs,ES1230729,1,PBMC,BS807925,09-H1-0239 flow cytometry B2,727564,Flow Cytometry
export_227_70.727566.fcs,export_227_70.fcs,ES1230731,70,PBMC,BS807928,09-H1-0239 flow cytometry B2,727566,Flow Cytometry
export_228_0.727567.fcs,export_228_0.fcs,ES1230732,0,PBMC,BS807929,09-H1-0239 flow cytometry B2,727567,Flow Cytometry
export_228_1.727568.fcs,export_228_1.fcs,ES1230733,1,PBMC,BS807930,09-H1-0239 flow cytometry B2,727568,Flow Cytometry
export_228_7.727569.fcs,export_228_7.fcs,ES1230734,7,PBMC,BS807931,09-H1-0239 flow cytometry B2,727569,Flow Cytometry
export_228_70.727570.fcs,export_228_70.fcs,ES1230735,70,PBMC,BS807933,09-H1-0239 flow cytometry B2,727570,Flow Cytometry
export_229_0.727571.fcs,export_229_0.fcs,ES1230736,0,PBMC,BS807934,09-H1-0239 flow cytometry B2,727571,Flow Cytometry
export_229_1.727572.fcs,export_229_1.fcs,ES1230737,1,PBMC,BS807935,09-H1-0239 flow cytometry B2,727572,Flow Cytometry
export_229_7.727573.fcs,export_229_7.fcs,ES1230738,7,PBMC,BS807936,09-H1-0239 flow cytometry B2,727573,Flow Cytometry
