REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR16435		A_Ca_07_swine X-179A virus		NA			X?179A virus is a 5:3 reassortant vaccine containing the HA, NA, and PB1 genes from A/California/07/2009 (H1N1pdm09) and the 5 other genes from A/PR/8/34 were donated by the high growth virus NYMC X?157	N		CHI	A_Ca_07_swine X-179A virus		Virus Neutralization		2771
ESR16436		H1N1 A/Brisbane/59/07		NA				N		CHI	H1N1 A/Brisbane/59/07		Virus Neutralization		2771
ESR16437		H3N2 A/Uruguay/716/07		NA				N		CHI	H3N2 A/Uruguay/716/07		Virus Neutralization		2771
ESR16438		B/Brisbane/60/2001		NA				N		CHI	B/Brisbane/60/2001		Virus Neutralization		2771
ESR16441		IgG light chains		NA			Coating antigens to enumerate total ASCs	N		NA	anti-human light chain Abs		ELISPOT		2771
ESR16442		IgG 2009 seasonal influenza vaccines		NA			Coating antigens to seasonal influenza vaccines to enumerate influenza?specific ASCs	N		NA	2009 seasonal influenza vaccines		ELISPOT		2771
ESR16443		IgG H1N1 influenza vaccines		NA			Coating antigens to H1N1 influenza vaccines to enumerate influenza?specific ASCs	N		NA	H1N1 influenza vaccines		ELISPOT		2771
ESR16444	ANA41	CD4		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD4 V450 Pac blue	V450 Pac blue	Flow Cytometry		2771
ESR16445		Viability		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	Viability Aquablue	Aquablue	Flow Cytometry		2771
ESR16446	ANA810	CD8		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD8 BV605	BV605	Flow Cytometry		2771
ESR16447	ANA40	CD27		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD27 BV655	BV650	Flow Cytometry		2771
ESR16448		CD45		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD45 BV785	BV785	Flow Cytometry		2771
ESR16449		CD39		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD39 FITC	FITC	Flow Cytometry		2771
ESR16450	ANA808	CD38		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD38 PcPcy5.5	PcPcy5.5	Flow Cytometry		2771
ESR16451		Foxp3		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	Foxp3 PE	PE	Flow Cytometry		2771
ESR16452		CD45-RA		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD45-RA PE-TR	PE-TR	Flow Cytometry		2771
ESR16453	ANA877	CD103		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD103 PEcy5	PEcy5	Flow Cytometry		2771
ESR16454	ANA812	HLA-DR		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	HLA-DR PEcy5.5/PE-A700	PEcy5.5/PE-A700	Flow Cytometry		2771
ESR16455	ANA163	CD25		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD25 PEcy7	PEcy7	Flow Cytometry		2771
ESR16456	ANA182	CD127		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD127 APC/eFluor660	APC/eFluor660	Flow Cytometry		2771
ESR16457		CD197		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD197 Alexa700/APC Cy5.5	Alexa700/APC Cy5.5	Flow Cytometry		2771
ESR16458	ANA809	CD3		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD3 APC cy7	APC cy7	Flow Cytometry		2771
ESR16459		IL-23R		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	IL-23R FITC	FITC	Flow Cytometry		2771
ESR16460		CD196		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD196 PcPcy5.5	PcPcy5.5	Flow Cytometry		2771
ESR16461		CD146		Contact foo.cheung@nhlbi.nih.gov for more details	Contact foo.cheung@nhlbi.nih.gov for more details			N		Contact foo.cheung@nhlbi.nih.gov for more details	CD146 PE	PE	Flow Cytometry		2771
