ANALYTE_ACCESSION	ANALYTE_PREFERRED	CLUSTER_SUBUNIT_GENE_IDS	CLUSTER_SUBUNIT_GENE_SYMBOLS	CLUSTER_SUBUNIT_UNIPROT_IDS	CLUSTER_SUBUNIT_UNIPROT_NAMES	GENE_ADDITIONAL_NAMES	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	IX_SYNONYMS	LINK	MESH_ID	MESH_NAME	OFFICIAL_GENE_NAME	OMIM_ID	ORTHOLOG_IDS	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	PROTEIN_ONTOLOGY_URL	SHEN_ORR_ID	TAXONOMY_ID	TYPOGRAPHICAL_VARIATIONS	UNIPROT_ALT_PROT_NAMES	UNIPROT_ID	UNIPROT_PROTEIN_NAME	UNIQUE_ID
ANA108	IFNB1					IFNbeta;fibroblast interferon;interferon beta;	IFB;IFF;IFNB;	3456	HGNC:5434	IFNB1	Interferon-beta;interferon-beta-1;interferon beta1;ifnb;interferon-beta1;ifn{beta};fibroblast interferon;ifn beta;ifn-beta;beta-1 interferon;interferon beta;ifnb1;mgc96956;interferon, beta-1;beta-interferon;ifn-{beta};ifnbeta;interferon b;fiblaferon;interferon, beta1;ifn {beta};interferon, beta 1;ifn-b;ifn b;interferon-beta;interferon beta-1;iff;interferon-b;beta interferon;interferon, beta 1, fibroblast;ifb;	http://www.ncbi.nlm.nih.gov/gene/?term=3456	D016899	Interferon-beta	interferon, beta 1, fibroblast	147640	15977	PR:000024939	interferon beta	-	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000024939	41	9606	interferon b;IFNb;IFN-b;IFN-beta;IFN beta;interferon beta;beta interferon;b interferon;interferon-b;interferon-beta;	IFN-beta;Fibroblast interferon;	IFNB_HUMAN	Interferon beta	CID_81
ANA109	IFNE					IFNepsilon;interferon epsilon 1;interferon epsilon;interferonepsilon;interferon tau1;interferon epsilon1;	IFN-E;IFNE1;IFNT1;INFE1;PRO655;	338376	HGNC:18163	IFNE	Interferon-epsilon;ifn-e;mgc119020;ifne;ifn-epsilon;interferon, epsilon;ifnt1;interferon-epsilon;pro655;ifne1;interferon tau-1;interferon epsilon;mgc119018;interferon epsilon-1;	http://www.ncbi.nlm.nih.gov/gene/?term=338376	-	-	interferon, epsilon	615223	230405	PR:000008925	interferon epsilon	IFNE;Ifnt1;IFNE1;interferon epsilon-1;interferon tau-1;IFN-epsilon;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008925	37	9606	-	IFN-epsilon;Interferon epsilon-1;	IFNE_HUMAN	Interferon epsilon	CID_82
ANA11	CCL2					small inducible cytokine A2 (monocyte chemotactic protein 1, homologous to mouse Sigje);smallinducible cytokine A2;monocyte secretory protein JE;monocyte chemoattractant protein 1;small inducible cytokine subfamily A (CysCys), member 2;monocyte chemotactic and activating factor;CC motif chemokine 2;monocyte chemotactic protein 1;monocyte chemoattractant protein1;	HC11;MCAF;MCP1;MCP-1;SCYA2;GDCF-2;SMC-CF;HSMCR30;	6347	HGNC:10618	CCL2	ccl-2;mgc9434;c-c motif chemokine 2;mcaf;hc11;mcp-1;smccf;gdcf-2;tsg-8;scya2;ldcf;monocyte chemotactic protein 1;monocyte chemotactic and activating factor;tdcf;small-inducible cytokine A2;hsmcr30;mcp1;monocyte secretory protein JE;platelet-derived growth factor-inducible protein JE;monocyte chemoattractant protein 1;gdcf2;chemokine (c-c motif) ligand 2;smc-cf;tsg8;ccl2;	http://www.ncbi.nlm.nih.gov/gene/?term=6347	D018932	Chemokine CCL2	chemokine (C-C motif) ligand 2	158105	20296	PR:000002122	C-C motif chemokine 2	CCL2;MCP1;small-inducible cytokine A2;Je;monocyte secretory protein JE;platelet-derived growth factor-inducible protein JE;monocyte chemotactic and activating factor;monocyte chemotactic protein 1;MCAF;SCYA2;HC11;monocyte chemoattractant protein 1;MCP-1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002122	231	9606	C-C motif chemokine 2;CCL2;Chemokine CCL2;	HC11;Monocyte chemoattractant protein 1;Monocyte chemotactic and activating factor;MCAF;Monocyte chemotactic protein 1;MCP-1;Monocyte secretory protein JE;Small-inducible cytokine A2;	CCL2_HUMAN	C-C motif chemokine 2	CID_20
ANA110	IFNG					IFNgamma;interferon gamma;immune interferon;	IFG;IFI;	3458	HGNC:5438	IFNG	Interferon-gamma;ifng;ifg;ifn-gamma;interferon, gamma;ifn-g;interferon-gamma;ifi;gamma-interferon;gamma interferon;immune interferon;interferon gamma;	http://www.ncbi.nlm.nih.gov/gene/?term=3458	D007371	Interferon-gamma	interferon, gamma	147570	15978	PR:000000017	interferon gamma	IFN-gamma;IFNG;immune interferon;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000000017	43	9606	IFN-gamma;IFN gamma;IFNG;IFN-g;Interferon-gamma;Interferon-g;Interferon g;interferon gamma;gamma interferon;g interferon;	IFN-gamma;Immune interferon;	IFNG_HUMAN	Interferon gamma	CID_83
ANA111	IFNGR1					AVP, type 2;CD119 antigen;CDw119;IFN-gamma receptor 1;IFN-gamma-R1;antiviral protein, type 2;immune interferon receptor 1;interferon-gamma receptor alpha chain;	RP3-503F13.3;CD119;IFNGR;	3459	HGNC:5439	IFNGR1	-	http://www.ncbi.nlm.nih.gov/gene/?term=3459	-	-	interferon gamma receptor 1	107470	15979	PR:000001361	interferon gamma receptor alpha chain	CD119;IFN-gamma-R1;IFN-gamma receptor 1;IFNGR1;Ifngr;CDw119;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001361	-	9606	-	IFN-gamma receptor 1;IFN-gamma-R1;CDw119;	INGR1_HUMAN	Interferon gamma receptor 1	CID_202
ANA112	IFNGR2					IFN-gamma receptor 2;IFN-gamma-R2;interferon gamma receptor 2;interferon gamma receptor accessory factor 1;interferon gamma receptor accessory factor-1;interferon gamma receptor beta chain;interferon gamma transducer 1;	AF-1;IFGR2;IFNGT1;	3460	HGNC:5440	IFNGR2	-	http://www.ncbi.nlm.nih.gov/gene/?term=3460	-	-	interferon gamma receptor 2 (interferon gamma transducer 1)	147569	15980	PR:000008926	interferon-gamma receptor beta chain	IFN-gamma-R2;IFNGT1;interferon gamma transducer 1;interferon gamma receptor accessory factor 1;AF-1;IFNGR2;IFN-gamma receptor 2;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008926	-	9606	-	IFN-gamma receptor 2;IFN-gamma-R2;Interferon gamma receptor accessory factor 1;AF-1;Interferon gamma transducer 1;	INGR2_HUMAN	Interferon gamma receptor 2	CID_262
ANA113	IFNK					interferon kappa;interferonlike protein;IFNkappa;	IFNT1;INFE1;	56832	HGNC:21714	IFNK	Interferon-kappa;	http://www.ncbi.nlm.nih.gov/gene/?term=56832	-	-	interferon, kappa	615326;615223	387510	PR:000008927	interferon kappa	IFNK;IFN-kappa;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000008927	39	9606	-	IFN-kappa;	IFNK_HUMAN	Interferon kappa	CID_84
ANA114	IFNL1					interferonlambda1;IFNlambda1;cytokine Zcyto21;interferon lambda1;interleukin 29 (interferon, lambda 1);interleukin29;	IL29;IL-29;	282618	HGNC:18363	IFNL1	Interleukin-29;interferon, lambda-1;interleukin 29;ifn lambda-1;cytokine zcyto21;zcyto21;interleukin-29;ifnl1;interferon, lambda 1;ifn-lambda-1;il29;il-29;interferon lambda-1;	http://www.ncbi.nlm.nih.gov/gene/?term=282618	-	-	interferon, lambda 1	607403	-	PR:000001476	interleukin-29	IFN-lambda-1;cytokine Zcyto21;interferon lambda-1;ZCYTO21;IL29;IL-29;IFNL1;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001476	99	9606	-	IFN-lambda-1;Cytokine Zcyto21;Interleukin-29;IL-29;	IFNL1_HUMAN	Interferon lambda-1	CID_124
ANA115	IFNL2					interferon lambda2;interleukin 28A (interferon, lambda 2);cytokine Zcyto20;interleukin28A;interferonlambda 2;IFNlambda2;interferon lambda 2;	IL28A;IL-28A;	282616	HGNC:18364	IFNL2	il-28a;zcyto20;il28a;ifn-lambda-2;interleukin-28a;ifnl2;interleukin 28a;interferon, lambda 2;cytokine zcyto20;	http://www.ncbi.nlm.nih.gov/gene/?term=282616	-	-	interferon, lambda 2	607401	330496	PR:000001469	interleukin-28A	IL28A;interferon lambda-2;ZCYTO20;IFN-lambda-2;IFNL2;IL-28A;cytokine Zcyto20;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001469	121	9606	-	IFN-lambda-2;Cytokine Zcyto20;Interleukin-28A;IL-28A;	IFNL2_HUMAN	Interferon lambda-2	CID_122
ANA122	IL11RA					IL-11 receptor subunit alpha;IL-11R subunit alpha;interleukin-11 receptor alpha chain;interleukin-11 receptor subunit alpha;	hCG_2011440;CRSDA;	3590	HGNC:5967	IL11RA	-	http://www.ncbi.nlm.nih.gov/gene/?term=3590	-	-	interleukin 11 receptor, alpha	600939	16157	PR:000031108	interleukin-11 receptor subunit alpha	IL-11 receptor subunit alpha;IL-11R-alpha;IL11RA;IL-11R subunit alpha;IL-11RA;	http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000031108	-	9606	-	IL-11 receptor subunit alpha;IL-11R subunit alpha;IL-11R-alpha;IL-11RA;	I11RA_HUMAN	Interleukin-11 receptor subunit alpha	CID_252
