ANALYTE_ACCESSION	GENE_SYMBOL	GENE_ALIASES	GENE_ID	GENETIC_NOMENCLATURE_ID	IMMUNOLOGY_GENE_SYMBOL	LINK	OFFICIAL_GENE_NAME	PROTEIN_ONTOLOGY_ID	PROTEIN_ONTOLOGY_NAME	PROTEIN_ONTOLOGY_SYNONYMS	TAXONOMY_ID	UNIPROT_ENTRY	UNIPROT_ENTRY_NAME
ANA108	IFNB1	IFB;IFF;IFNB;	3456	HGNC:5434	IFNB1	http://www.ncbi.nlm.nih.gov/gene/?term=3456	interferon, beta 1, fibroblast	PR:000024939	interferon beta	-	9606	IFNB_HUMAN	Interferon beta
ANA109	IFNE	IFN-E;IFNE1;IFNT1;INFE1;PRO655;	338376	HGNC:18163	IFNE	http://www.ncbi.nlm.nih.gov/gene/?term=338376	interferon, epsilon	PR:000008925	interferon epsilon	IFNE;Ifnt1;IFNE1;interferon epsilon-1;interferon tau-1;IFN-epsilon;	9606	IFNE_HUMAN	Interferon epsilon
ANA11	CCL2	HC11;MCAF;MCP1;MCP-1;SCYA2;GDCF-2;SMC-CF;HSMCR30;	6347	HGNC:10618	MCP1	http://www.ncbi.nlm.nih.gov/gene/?term=6347	chemokine (C-C motif) ligand 2	PR:000002122	C-C motif chemokine 2	CCL2;MCP1;small-inducible cytokine A2;Je;monocyte secretory protein JE;platelet-derived growth factor-inducible protein JE;monocyte chemotactic and activating factor;monocyte chemotactic protein 1;MCAF;SCYA2;HC11;monocyte chemoattractant protein 1;MCP-1;	9606	CCL2_HUMAN	C-C motif chemokine 2
ANA110	IFNG	IFG;IFI;	3458	HGNC:5438	IFNG	http://www.ncbi.nlm.nih.gov/gene/?term=3458	interferon, gamma	PR:000000017	interferon gamma	IFN-gamma;IFNG;immune interferon;	9606	IFNG_HUMAN	Interferon gamma
ANA111	IFNGR1	RP3-503F13.3;CD119;IFNGR;	3459	HGNC:5439	IFNGR1	http://www.ncbi.nlm.nih.gov/gene/?term=3459	interferon gamma receptor 1	PR:000001361	interferon gamma receptor alpha chain	CD119;IFN-gamma-R1;IFN-gamma receptor 1;IFNGR1;Ifngr;CDw119;	9606	INGR1_HUMAN	Interferon gamma receptor 1
ANA112	IFNGR2	AF-1;IFGR2;IFNGT1;	3460	HGNC:5440	IFNGR2	http://www.ncbi.nlm.nih.gov/gene/?term=3460	interferon gamma receptor 2 (interferon gamma transducer 1)	PR:000008926	interferon-gamma receptor beta chain	IFN-gamma-R2;IFNGT1;interferon gamma transducer 1;interferon gamma receptor accessory factor 1;AF-1;IFNGR2;IFN-gamma receptor 2;	9606	INGR2_HUMAN	Interferon gamma receptor 2
ANA113	IFNK	IFNT1;INFE1;	56832	HGNC:21714	IFNK	http://www.ncbi.nlm.nih.gov/gene/?term=56832	interferon, kappa	PR:000008927	interferon kappa	IFNK;IFN-kappa;	9606	IFNK_HUMAN	Interferon kappa
ANA114	IFNL1	IL29;IL-29;	282618	HGNC:18363	IFNL1	http://www.ncbi.nlm.nih.gov/gene/?term=282618	interferon, lambda 1	PR:000001476	interleukin-29	IFN-lambda-1;cytokine Zcyto21;interferon lambda-1;ZCYTO21;IL29;IL-29;IFNL1;	9606	IFNL1_HUMAN	Interferon lambda-1
ANA115	IFNL2	IL28A;IL-28A;	282616	HGNC:18364	IFNL2	http://www.ncbi.nlm.nih.gov/gene/?term=282616	interferon, lambda 2	PR:000001469	interleukin-28A	IL28A;interferon lambda-2;ZCYTO20;IFN-lambda-2;IFNL2;IL-28A;cytokine Zcyto20;	9606	IFNL2_HUMAN	Interferon lambda-2
ANA122	IL11RA	hCG_2011440;CRSDA;	3590	HGNC:5967	IL11RA	http://www.ncbi.nlm.nih.gov/gene/?term=3590	interleukin 11 receptor, alpha	PR:000031108	interleukin-11 receptor subunit alpha	IL-11 receptor subunit alpha;IL-11R-alpha;IL11RA;IL-11R subunit alpha;IL-11RA;	9606	I11RA_HUMAN	Interleukin-11 receptor subunit alpha
